Piece Title,Publisher/Library,Exclusive / Non Exclusive,Publishers Split,Writers Split,Master Owner,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Sounds like,Overall Quality,Has TV Usage,Has Stock Music Sales,Usage: Syncs and Dates,Soundcloud Link,Data Complete,Notes
Make me feel Pretty with the Lights Out,"(Atrium?), Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 50% Ariana Nichole 50%,Nikolas Korolog,"Pop, Synthpop, Electronic",Bitchy and upbeat electronic pop song,120,G,4/4,Ionian,3:22,"Elec Drums, Synth, Synth Pad, Synth Bass, Female Vox","Bitchy, Pop, Popular, Mean Girls, Electrical, Electicity, Neon, Technicolor, Main Street Parade","Apprehensive, Sweet, Unsure, Excited","Teen, Romance, Drama",?,5,,,-,,checked,
Doors are Opening,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Pop, Tropical House","A female-vocal driven tropical house tune with a modern, futurebass aesthetic. Words are about new possibilities after a breakup.",108,Gm,4/4,Aeolian,3:02,"Synth, Synth Bass, Female Vox, Elec. Drums, Kalimba, Hang Drum ","Breakup, open relationship, lost love, I miss you, missing somebody, tropical, beach, ethnic, breaking up, drama, ocean, island, relationship problems, relationship, possibilities, new love, melancholy, jungle, rainforest, ","Carefree, Positive, Romantic, Cool, Hopeful, Sentimental","Romance, Romantic Comedy, Teen, Drama, Commercial",Kygo,1,,,-,,checked,Bailey vocalist (last name?)
Demon,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 80% Tanja Jeramaz 10% unofficial Kamran Adib 10% unofficial,Nikolas Korolog,"Pop, Tropical House","Grindy, sweaty, materialistic tropical house song featuring a synth flute drop ",185,Cm,4/4,Dorian,2:54,"Synth, Elec Drums, Synth Flute, Female Vox","tropical, driving, maserati, car, party, grinding, party, summer, beach","sexy, glamorous, driving, hot","romance, Teen, romantic comedy, drama","Kygo, Omi",5,,,-,,checked,
Drive Thru,Unpublished,Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Rock,Weird and flirty song about fast food,,,4/4,Ionian,2:44,,"upbeat, funny, weird, happy, food, hungry, eating, fast food, dinner, lunch","Happy, Cheerful, Flirty",Commercial,?,1,,,-,,,
Nepenthes,Atrium,Exclusive - Contact Atrium Music for licensing,Music from the Atrium 100%,"Nikolas Korolog, ASCAP 100%",Music from the Atrium,Rock,"A melodic, sampled guitar tune",80,Gb/F#,4/4,Ionian,1:55,"Guitar, Snaps, Drums, Bass","Uplfiting, Content, Melodic, Cheerful, casual, everyday, home improvement, ","Cheerful, happy, uplifting","Reality, Romance, Commercial",?,4,,,,,checked,
My Tempo,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 85% Lexi Scatena 15% unofficial",Nikolas Korolog,"Rock, Electronic Rock","Fun funky, driving synthpop tune featuring a catchy falsetto chorus",102.5,Fm,4/4,Aeolian,3:17,"Elec Guitar, Synth, Synth Bass, Male Vox, Elec Drums","punchy, funky, driving, exciting, confident, successful, rock, club, pop, dance, ","exciting, hot, confident, ","romance, romantic comedy, commercial",like an electronic Finger 11,5,,,-,,checked,"Niko Vocals, Adam Cropper"
Lazy Christmas,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Rock, Light",A laidback and contented christmas jam,70,Bm,4/4,Ionian,1:25,"Piano, Upright Bass, Drum Set, Celeste, Violins, Sleighbells","christmas, xmas, christmas tree, christmas decor, handmade, love, merry christmas, santa, winter, christmas time, gift, christmas gifts, holidays, holiday, gifts, christmas is coming, navidad, christmas decorations, santa claus, snow, christmas gift, noel, art, christmas lights, family, Charlie Brown, dope, the beatles, maxwell's silver hammer, lazy, content, laidback, beatles, ","Cheerful, Happy, Chill, Lethargic, Relaxing, Whimsical","Holiday, Commercial, Special Occasion, ",?,2,,,-,,checked,
Squareliner,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Rock, Metal",Heavy electronic hard rock tune with a punchy groove,75,Dm,4/4,Aeolian,2:10,"Synth, elec. guitar, drum set, synth bass","hardcore, heavy, metal, truck, action, extreme sports, atv, commercial, hard-hitting, rock, heavy metal, football, wrestling, sports, sport, ad, advertisement, hard core, skating, skateboard, skateboarding, red bull, energy drink, muddin","aggressive, dark, angry, confident, cool, determined, motivated, strong, triumphant","sports, commercial, video game, broadcast/news, action","Truck Commercial, X-games",3,,,-,,checked,
Purple Heart,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Score,"Military chorale-style brass piece suitable for a military funeral, like Taps",70,Bbm,4/4,Aeolian,3:00,"Brass, Trumpet, Horns, Trombone, Strings","military, funeral, tragic, noble, death, taps, grave, mission, army","noble, melancholy, sad, grave","documentary, drama, scifi","James Horner, Apollo 13 soundtrack, Taps",5,,,-,,checked,
Music Box,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 50%",Nikolas Korolog,Score,Simple and whimsical music box type tune,132,D,3/4,Ionian,1:17,"Harp, Bells, Flute, Bass","childish, cute, sweet, whimsical, kids, music box","cute, happy, whimsical","animation, commercial, children","Music Box, Babes in Toyland",3,,,-,,checked,
Eastern Conflict,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Action",Punchy and dramatic orchestral fight scene or chase music,132,Fm,4/4,Aeolian,3:46,"Orchestra, Drums, Violins, Percussion, Horn, Gong","Drama, Action, Fight, Chinese, Japanese, Gong, kung fu, ninja, crouching tiger hidden dragon, sword, katana, scrapping, chase scene, chase, long, throwing star, kimono, karate, chaos, chaotic, atonal, harsh, acoustic, epic","Dramatic, Aggressive, Angry, dangerous, edgy, epic, menacing, powerful, scary, tense",Action,?,4,,,-,,checked,
Subterranean Ambiance 1,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Ambient","Seamless loop, magical piano and erhu ambiance.",90,Gm,4/4,Aeolian,1:27,"Piano, Celeste, Strings, Erhu","Ambient, Ambiant, Ambiance, Ambience, Erhu, Chinese, Eastern, China, loop, background, underscore, melancholy, sad, dark, gloomy, searching, lonely, idle, empty, quiet, deep, calm, contemplative, cool, melancholic, dreamy, ethereal, haunting, hypnotic, magical, mournful, mystical, peaceful, reflective, romantic, smooth, tranquil, piano, strings, violin, orchestra","Idle, Reflective, Waiting, Dreamy, Chill","animation, romance",?,3,,,-,,checked,From Avaloki
Subterranean Ambiance 2,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Ambient","Seamless loop, magical piano and erhu ambiance.",90,G,4/4,Phrygian,2:00,"Piano, Celeste, Strings, Erhu","Ambient, Ambiant, Ambiance, Ambience, Erhu, Chinese, Eastern, China, loop, background, underscore, melancholy, sad, dark, gloomy, searching, lonely, idle, empty, quiet, deep, calm, contemplative, cool, melancholic, dreamy, ethereal, haunting, hypnotic, magical, mournful, mystical, peaceful, reflective, romantic, smooth, tranquil, piano, strings, violin, orchestra","Idle, Reflective, Waiting, Dreamy, Chill","animation, romance",?,3,,,-,,checked,From Avaloki
Subterranean Ambiance 3,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Ambient","Seamless loop, magical piano and erhu ambiance.",90,G,4/4,Phrygian,1:59,"Piano, Celeste, Strings, Erhu","Ambient, Ambiant, Ambiance, Ambience, Erhu, Chinese, Eastern, China, loop, background, underscore, melancholy, sad, dark, gloomy, searching, lonely, idle, empty, quiet, deep, calm, contemplative, cool, melancholic, dreamy, ethereal, haunting, hypnotic, magical, mournful, mystical, peaceful, reflective, romantic, smooth, tranquil, piano, strings, violin, orchestra","Idle, Reflective, Waiting, Dreamy, Chill","animation, romance",?,3,,,-,,checked,From Avaloki
"A Bigger, Brighter Christmas","Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Christmas",Another cheerful and upbeat orchestral christmas tune,85,Bb,4/4,Ionian,1:26,"Orchestra, Violins, String Section, Horns, Celeste, Flute, Sleighbells","Gifts, Christmas, Candy, Christmas Tree, Xmas, Presents, Celebration,","Cheerful, Happy, Joyous, Celebratory","Reality, Drama",?,4,,,-,,checked,
Goofy Energy,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Comedy Quirky",Quirky tune with a melancholic ending,76,A,4/4,Mixolydian,0:47,"Strings, Oboe, Plucked strings, ","Quirky, cute, wholesome, sneaky, silly, magical, magic, plucked, plucked strings, pizzicato, commercial, advertisement, ad, random, adorable, nostalgic, health, narnia, sweet, lovely","magical, emotional, hopeful, intrigued, thoughtful, whimsical, uplifting","animation, children, video game, romance",?,3,,,-,,checked,
Hexx 24,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Score, Contemporary Classical",Eerie and strange quarter tone horror piece,120,Gm,4/4,Aeolian,5:24,"Synth Bass, Synth, String Quartet, Violin, Viola, Cello","Horror, Quarter Tone, Eerie, Weird, Creepy, Murder, Dread, Dreadful, Dramatic","Scary, Weird, Terrifying","Horror, Drama, Crime",?,4,,,-,,checked,LIVE STRINGS!!!
Corporate Keynote,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Corporate",A fast and innovative sounding corporate score,102,G,4/4,Ionian,2:22,"Piano, Synth, Cello","innovative, uplifting, motivational, corporate, keynote, speech, technology, innovation, high tech","motivational, inspiring",Corporate,?,4,,,-,,checked,
Corporate Minimalism,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Corporate",Title says it all - a simple and inspiring corporate minimalist track featuring piano,147,F,4/4,Ionian,2:33,"Synth Bass, Piano, Cello, Synth, bells","corporate, acoustic, inspirational, motivational, corporation, drug commercial, ad, advertisement, fast, speedy, quick, high tech, hi tech, technology, bay area, startup, keynote, speech, minimal, minimalist, minimalism ","Innovative, Inspirational, cheerful, confident, energetic, positive","Commercial, Corporate, ",?,3,,,-,,checked,
Corporate Minimalism 2,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Corporate",Minimalist corporate background score,150,D,4/4,Ionian,2:44,"Piano, Synth, Percussion, Bells, Celeste","Corporate, acoustic, uplifting, innovative, innovation, exciting, motivational, inspiring","Innovative, Inspirational, cheerful, confident, energetic, positive","Corporate, Commercial",?,3,,,-,,checked,
Electrum,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Corporate","Fast and uplifting, Generic score",148,F#/Gb,4/4,Ionian,1:48,"Piano, Drums, Synth, Strings, ","Corporate, Uplifting, Cheesy, Tacky, Epic, ","Happy, Inspirational, Motivational","Corporate, Commercial",?,1,,,-,,checked,
As the Forest Burns,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Drama","Intense, suspenseful orchestral track with live instruments.",145,Ebm,4/4,Aeolian,1:17,"Percussion, Big Drums, Strings, Erhu","Intense, Stressful, Erhu, Chinese, Eastern, Traditional, Drama, Dramatic, Death, Torture, Suspense, Suspenseful, Big, Explosion, Fire, Dying, Chase, Chase Scene, Sequence, Crying, Screaming, angry, aggressive, cool, dark, disturbing, energetic, epic, heavy, magical, foreboding, scary, tension, video game","Intense, Stressful, Aggressive, Angry","Reality, Romance, Drama, Action",?,4,,,-,,checked,From Avaloki
Eastern Heartbreak,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Drama","Short, Heart-wrenching and romantic piece featuring live cello, erhu, and piano.",48,Fm,4/4,Aeolian,0:53,"Strings, Cello, Piano, Erhu","Eastern, Chinese, Romance, Heartbreak, Breakup, Sadness, Heartwrenching, depressing, Japanese, Erhu, Live, Acoustic, orchestra, orchestral, score, underscore, romantic, magic, magical, calm, contemplative, down, melancholic, dramatic, elegant, ethereal, haunting, melancholy, mournful, passionate, powerful, reflective, tension, strings, cello, double bass, violin, horns, piano ","Sad, Tragic, Heartbreaking","Romance, Drama",?,5,,,-,,checked,From Avaloki
Erhu Melody,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Drama",Erhu-centric solo theme leading into a melancholic orchestral section,85,Bbm,4/4,Ionian,2:55,"Erhu, Gong, Orchestra, Strings, Cello, Piano","Lonely, Chinese, eastern, erhu, solo, acoustic, hollow, empty, gloomy, magic, magical, magic spell, enchanted, forest, narnia, harry potter, china, japan, asia, asian, orchestra, orchestral","calm, dreamy, magical, melancholy, searching, romantic, ambient","Animation, romance",?,5,,,-,,checked,From Avaloki
Jade Melody,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Drama","Magical and slow, chinese/western hybrid piece featuring live erhu, live piano, and live cello.",50,F#/Gb,4/4,Ionian,3:17,"Piano, bells, Cello, strings, erhu","chinese, china, eastern, japan, japanese, asian, asia, melody, melodic, main theme, thematic, theme, magic, magical, waiting, cartoon, comic, animation, fantasy, orchestra, orchestral, acoustic, instrumental, live ","Magical, romantic, contemplative, dreamy, longing, mysterious, whimsical","animation, romance, main title",?,5,,,-,,checked,From Avaloki
Magical Glade,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Drama",Sparkling and magical piano-driven neo-impressionistic piece featuring erhu and cello,82,Db,4/4,Mixolydian,1:08,"Piano, Erhu, Strings, Cello, bells","Magic, pastoral, tension, tense, magic, magical, asian, asia, eastern, china, chinese, neoexpressionist, expressionism, impressionism, romance, romantic era, debussy, acoustic, instrumental, live, piano solo, solo piano, solo, pastorale, animation, cartoon","Magical, romantic, dreamy, mysterious, uplifting, warm, calm, whimsical","animation, romance, main title",?,5,,,-,,checked,From Avaloki
Sylvan Tragedy,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Drama","Slow, tragic and romantic orchestral piece featuring live cello",55,Cm,Varies,Aeolian,2:53,"Erhu, piano, Strings, bells, cello","Erhu, reflective, magical, magic, drama, tragedy, sad, depressing, chinese, china, eastern, orchestra, orchestral, big, sweeping, melody, japan, magic spell, enchanted, death, heartbreak, heartbroken","sad, tragic, magical, dreamy, mysterious, romantic","animation, romance",?,5,,,-,,checked,From Avaloki
Pump,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Score, Drone","A phrygian drone track featuring solo cello, inspired by the desolation of an oil field in the middle east",130,Em,4/4,Phrygian,6:56,"Synth, Synth Bass, Solo Cello, Percussion, Elec. Drums","Space Station, Space, Spacecraft, Docking, Alarm, Pumping, Pump, Oil, Iraq, Afghanistan, Middle east, Desolate, Desolation, Drone, Explosives, IED, Humvee, Desert","Driving, Fearful, Resolute, Tense","Action, Sci-Fi, Chase/Fight, Drama, Heroic",Black Hawk Down,4,,,-,,checked,
The Metronome of Fate,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, EDM","A driving, synth based action cue with a morphing bassline and an incessant tick.",130,Dm,4/4,Aeolian,3:04,"Synth Bass, Percussion, Bass Drum, EDM Drums, Strings, Synth Pad, Brass Section","Hoverbike, Chase, Cyberpunk, Sci-fi, Escape, Speeder, Superhero, Marvel, DC Comics, Comic book, ","Adventurous, Active, Anxious, Building, Cool, Dangerous, Dark, Driving, Exciting, Energetic, Omenous, Suspense","Action, Builds, Video Game, Sci-Fi, Chase/fight, Animation",Tick of the Clock - Chromatics,5,,,-,,checked,
"Hero and the Astrolabe, The","Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Epic",main-title type cinematic cue evocative of exploration,115,Bm,4/4,Aeolian,3:16,"Orchestra, Electronics, Flute, Horn, Strings, Violin","epic, romantic, landscape, sailing, navigating, exploration, exploring","resolute, noble, strong, ","scifi, animation, commercial, epic",?,5,,,-,,checked,
Airship Discovery,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Epic",Upbeat epic orchestral score that includes elements of Drum and Bass ,175,C,4/4,Ionian,2:14,"Orchestra, Electronics, Synth, Drumset","epic, anime, animation, sweeping, score","triumphant, joyful, epic, happy","Animation, Epic",?,3,,,-,,checked,
Epic Commitment,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Epic","An uplifting and heroic, epic orchestral track featuring strings and horn",125,Gm,4/4,Aeolian,2:16,"Orchestra, Horn, Violin, Strings, Brass, Harp, Synth","Epic, Orchestra, Game of Thrones, Main Theme, Title Theme, Thematic, Orchestral, Melody, Melodic, ","Uplifting, Epic, Romantic, Heroic, Confident, Dramatic, Exciting, Inspirational","Heroic, Animation, Main Title, Medieval, Sci-Fi, Broadcast / News, Reality",?,4,,,-,,checked,
Darkness,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Epic","Cinematic, dramatic, dark, sci-fi inspired theme that begins ambient and ends motoric",100,Fm,4/4,Aeolian,5:04,"Synth, Percussion, Strings, Violin, Orchestra","Dark, eerie, superhero, dramatic, Alien, sci-fi, science fiction, space, comic, marvel, dc comics, batman, deadpool, trailer, cinematic, spacy, spooky, deep, acoustic, epic","anxious, dark, determined, dramatic, brooding, intense, ominous, tense, suspenseful, dangerous","action, chase/fight, crime, drama, elimination, sci-fi, thriller/horror, video game",Marvel,4,,,-,,checked,
Lime Lacroix,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Epic",Driving and exciting trailer music type cue with drone and pitch bend technique,150,Fm,4/4,Aeolian,1:50,"Horn, Cello, Electronics, Cinematic Drums, String Section","Trailer, Epic, Commercial, Superhero, Marvel, DC, Batman, Spiderman, Spiderman 2, Flying, Batmobile, Chase Sequence,","Intense, Driving, Epic, Dark, Moody, Majestic,","Action, Superhero",?,5,,,-,,checked,
Fever Dream,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 85% Lexi Scatena 15% unofficial",Nikolas Korolog,"Score, Horror",Disturbing sound design journey into the depths of dark abyss,117,Db,4/4,Aeolian,1:01,"Synth, Drums, Electronics, Female Vox","horror, murder, scary, creepy, terror, demented, disturbed, ghosts","terror, fear, scared, demented, disturbed",Horror,?,3,,,-,,checked,
Headwinds,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Score, Hybrid",Dramatic videogamey hybrid score,95,Dm,4/4,Aeolian,2:10,"Orchestra, Strings, Synth Bass","Dramatic, Hybrid, Epic, melodic, videogame, adventure, adventurous, Superhero","Dark, Dramatic, Heroic ","Superhero, Action, Video Game",?,4,,,-,,checked,
Asymmetric War,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Hybrid",Dark and driving cinematic superhero score cue,150,Cm,4/4,Aeolian,2:49,"Orchestra, Horn, Strings, Synth","Cinematic, trailer, movie, score, video game, dark, scary, intense, dramatic, moody, spiderman, batman, bat man, gotham, spiderman 2, superhero, marvel, dc comics, comic book, supervillain, super, deadpool, acoustic, epic","anxious, dark, determined, dramatic, brooding, intense, ominous, tense, suspenseful, dangerous","action, chase/fight, crime, drama, elimination, sci-fi, thriller/horror, video game","Marvel, batman",4,,,-,,checked,
Building our Village,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Light","Peaceful yet resolute, determined, and active medieval theme",120,C#m,3/4,Dorian,1:15,"Harp, Hand Percussion, Cello, Recorder, Flute","medieval, history, fantasy, architecture, art, castle, larp, photography, knight, middleages, reenactment, travel, vikings, cosplay, medievaltimes, mittelalter, viking, sword, warrior, knights, europe, medievalart, larping, armor, gothic, medievalarchitecture, nature, pagan, medievalworld, travelphotography, picoftheday, medievale, castles, france, church, larper, middleage, medioevo, history, medievalhistory, italia, italy, photooftheday, handmade, medievalreenactment, archery, costume, germany, photo, landscape, instagood, illustration, historical, drawing, mittelaltermarkt, moyenage, arthistory, castle, cosplay, arte, davinci, milan, portrait, elizabethan, leonardodavinci, thcenturyfashion, queenelizabethi, marystuart, jewellery, handmade, fallforcostume, anneboylen, elizabethan, handmadejewellery, houseoftudor, tudorstyle, elizabethandress, historicaljewellery, masterjakobus, michelangelo, tudorfashion, hechoamano, madeinspain, historicaljewelry, deutscherenaissance, valdeloire, aristocrat, aristocracy, peon, lord, king, tyrant, tyranny, village, villager, bard, minstrel,","resolute, confident, peaceful, adventurous, active, noble, positive","Medieval, Romance, Animation, Heroic, Drama, Video Game",Age of Empires,4,,,-,,checked,
Minstrel's Theme,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Light",Peaceful medieval type theme that a bard might play,120,C#m,3/4,Dorian,2:03,"Harp, Hand Percussion, Percussion, Recorder, Flute","medieval, history, fantasy, architecture, art, castle, larp, photography, knight, middleages, reenactment, travel, vikings, cosplay, medievaltimes, mittelalter, viking, sword, warrior, knights, europe, medievalart, larping, armor, gothic, medievalarchitecture, nature, pagan, medievalworld, travelphotography, picoftheday, medievale, castles, france, church, larper, middleage, medioevo, history, medievalhistory, italia, italy, photooftheday, handmade, medievalreenactment, archery, costume, germany, photo, landscape, instagood, illustration, historical, drawing, mittelaltermarkt, moyenage, arthistory, castle, cosplay, arte, davinci, milan, portrait, elizabethan, leonardodavinci, thcenturyfashion, queenelizabethi, marystuart, jewellery, handmade, fallforcostume, anneboylen, elizabethan, handmadejewellery, houseoftudor, tudorstyle, elizabethandress, historicaljewellery, masterjakobus, michelangelo, tudorfashion, hechoamano, madeinspain, historicaljewelry, deutscherenaissance, valdeloire, aristocrat, aristocracy, peon, lord, king, tyrant, tyranny, village, villager, bard, minstrel,","peaceful, melancholy, magical, noble, relaxed, positive","Medieval, Romance, Animation, Heroic, Drama, Video Game","Medieval, Romance, Animation, Heroic, Drama, Video Game",4,,,-,,checked,
Wildflower,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, light",Cutesy and innocent plucked string waltz with flute and celeste ,133,D,3/4,Ionian,1:06,"Strings, flute, bells, celeste","ad, advertisement, commercial, cute, innocent, waltz, adorable, children, child, kid, fun, dance, ballet, dancing, insurance, medical, drug, medicine, medication, sweet, young, childish, dorky, derp  ","innocent, cute, bouncy, carefree, cheerful, fun, happy, peaceful, playful, whimsical, uplifting","animation, commercial, children, fantasy",?,3,,,-,,checked,
Alexandria's Arctic Adventure,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Light, Quirky","Adventurous, light orchestral score",130,Em,Varies,Aeolian,1:23,"Orchestra, Strings, Horns, Woodwinds","Adventure, travel, journey, hiking, epic, orchestra, orchestral, acoustic, expansive, nature, natural, documentary, traditional, inspiring, elevated, transcendant, motivational, Depth, big, confident, determined, discovery, hopeful, inspirational, optimistic, pompous, romantic, video game, strings, violin, oboe, horns, flutes, double bass, cello, brass, bassoon ","Quirky, Adventurous, Fun","Reality, Teen, Drama, Commercial",?,4,,,-,,checked,
Puffin Passion,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Light, World, Celtic",Cheerful Irish-influenced score perfect for documentaries,115,Bb,4/4,Mixolydian,2:02,"Bagpipes, Harp, Strings, Percussion, flute, cello","irish, ireland, score, documentary, medical, creation, painting, medicine, house, nature, natural, discovery, animal planet, building things, construction, cheerful, happy, industrious, nature documentary, history channel, puffins, puffin   ","cheerful, adventurous, fun, happy, light, industrious, nature, active, exciting","Documentary, procedural, romance",Ireland,4,,,-,,checked,
Puffin Ditty,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Score, Light, World, Celtic",Cheerful Irish-influenced score perfect for documentaries,129,F#/Gm,3/4,Ionian,1:46,"Bagpipes, Harp, Strings, Percussion, flute, cello","irish, ireland, score, documentary, medical, creation, painting, medicine, house, nature, natural, discovery, animal planet, building things, construction, cheerful, happy, industrious, nature documentary, history channel, puffins, puffin   ","cheerful, adventurous, fun, happy, light, industrious, nature, active, exciting","Documentary, procedural, romance",Ireland,4,,,-,,checked,
